Id,SalePrice_pred
1461,121040.51515798061
1462,146830.53747224426
1463,172693.80240563242
1464,185424.69979597675
1465,195547.46989085438
1466,171701.69813066896
1467,175313.28121327132
1468,162893.31131392767
1469,203968.1936017744
1470,119104.66740966521
1471,184399.59862777128
1472,105478.88522310303
1473,96657.75131383864
1474,146995.9339949404
1475,111494.42232982401
1476,363376.747525999
1477,251965.2676879922
1478,320197.00278071605
1479,302151.95861880435
1480,447274.47918527963
1481,312063.0262562847
1482,213094.64023742947
1483,176578.27852685025
1484,163630.2154585154
1485,195556.26470443048
1486,203074.5824621651
1487,325334.5252741029
1488,232164.30670787432
1489,189406.23611573817
1490,246545.9147605945
1491,203259.86228849916
1492,95663.6215906267
1493,215365.4046543829
1494,302691.9055751618
1495,286102.59426907863
1496,234992.8303558193
1497,176042.74624171495
1498,157087.58657218143
1499,162919.4607675781
1500,153575.65302164765
1501,190824.6382424829
1502,149392.6812452987
1503,267269.80495114985
1504,239218.94351464463
1505,219608.52885610395
1506,186676.295982556
1507,244140.22471102467
1508,187635.32706675289
1509,166716.36597058244
1510,140410.02969943598
1511,144981.6669653295
1512,178625.45186157542
1513,159421.14949870668
1514,147210.64993873428
1515,205291.80837763072
1516,164784.0474552659
1517,166919.22967895903
1518,123465.3979542723
1519,215017.75902345963
1520,120696.88768216468
1521,120672.94630213566
1522,197816.02634085002
1523,100783.57991262905
1524,117073.70201320059
1525,110740.2453444876
1526,88836.76927778745
1527,93862.91922851616
1528,150057.85803022745
1529,151345.65017854192
1530,213134.87165652576
1531,131087.52853367414
1532,106099.57222241591
1533,153990.32812447893
1534,129963.34954045115
1535,155449.90510389532
1536,108521.44780727103
1537,37568.61295882356
1538,165809.70304824968
1539,212735.48893478405
1540,121793.33291483353
1541,136528.12900378363
1542,146954.6639901118
1543,175209.44429640082
1544,92590.9228427144
1545,131842.65138601552
1546,144125.7476241642
1547,142658.47173851804
1548,144080.0213056123
1549,124345.72372950258
1550,142942.56862795938
1551,117069.45811850642
1552,150088.83464547293
1553,160673.32617311357
1554,123137.52186815848
1555,158248.31250596652
1556,89299.09217689594
1557,97809.80217298698
1558,102412.23553171585
1559,91786.27586318698
1560,123923.13225832951
1561,115714.4741039033
1562,128572.66810864382
1563,119388.84420091141
1564,158061.48180157048
1565,153963.88472999705
1566,245866.60187875174
1567,75873.16312864979
1568,231167.3843958688
1569,113779.38089651206
1570,147774.2819022125
1571,107435.28767877378
1572,143888.55054573592
1573,241493.17479694783
1574,123349.6356451099
1575,239393.87171346036
1576,231508.83935089142
1577,178194.29236734484
1578,140868.3844686232
1579,128422.30218593335
1580,192246.35232760027
1581,161972.42112090252
1582,135346.0032015784
1583,270433.77238208253
1584,230353.09276332794
1585,148210.30670021306
1586,40058.16129342269
1587,114655.61307217545
1588,167522.22578993853
1589,109671.75788737983
1590,130040.23115713327
1591,90815.34753790795
1592,120275.45022664589
1593,134370.07301002718
1594,133776.76208966738
1595,118895.39337331752
1596,223085.51415709834
1597,190137.73422004835
1598,209941.69572890634
1599,203911.21267248146
1600,174807.38000933637
1601,36906.63690520849
1602,129221.54123110179
1603,88104.60942134427
1604,289405.0357475039
1605,240918.39533520536
1606,149066.78585552156
1607,162685.64077929728
1608,210241.31767210434
1609,184273.78250946949
1610,157628.72766762174
1611,130895.54400291889
1612,189717.81106915724
1613,161391.7420952724
1614,147953.37555756074
1615,95052.43560709596
1616,75104.65103352173
1617,85067.55807884612
1618,115135.7280249682
1619,156267.05561078424
1620,159759.29271986452
1621,135734.61540570814
1622,150171.28466258832
1623,259891.22497526236
1624,214143.31144225004
1625,108366.86832539593
1626,173519.9935132122
1627,184610.9042195377
1628,282890.4077089132
1629,170826.34101436406
1630,322851.6821631909
1631,214658.74616476498
1632,228536.16511979583
1633,182519.39309149343
1634,188531.4825115221
1635,175517.20922257775
1636,144255.88278501166
1637,181495.0229086889
1638,203385.4004292863
1639,182032.08467701558
1640,247472.30444645352
1641,183171.22117527248
1642,253404.34176979412
1643,227017.2498032159
1644,229930.53696643026
1645,216666.5950389107
1646,158443.3703093495
1647,157869.9452650468
1648,125794.22833597688
1649,128521.34601266946
1650,115533.47306340355
1651,117041.22939203927
1652,108516.45338974372
1653,112120.37563581218
1654,144395.79037618948
1655,132536.74680919584
1656,135830.62410627448
1657,141404.959859684
1658,149074.4218109663
1659,113605.2746094585
1660,139710.10765957227
1661,415395.81155295635
1662,369798.7616830559
1663,370249.981343561
1664,459082.93197188625
1665,331319.4173338775
1666,327618.54977877066
1667,361664.7025624367
1668,350264.4312984622
1669,320301.32386694034
1670,355231.86941144825
1671,260312.18662808655
1672,394341.88259764924
1673,290565.7889340236
1674,252458.74155535194
1675,200368.5352687627
1676,199782.75018029276
1677,212676.69438649292
1678,441896.3446778408
1679,374761.9728872169
1680,323804.1696835456
1681,284238.95572536346
1682,320242.8251561419
1683,195935.33052009737
1684,189405.6175544201
1685,184993.28873298812
1686,167870.4679379923
1687,185408.7418965628
1688,195181.7545380455
1689,208256.3094681623
1690,202331.87351919018
1691,193577.6962982033
1692,276161.30771327304
1693,187945.18982686746
1694,181285.46211272498
1695,170997.06700998032
1696,261764.584693763
1697,179425.2780125245
1698,329356.6789452328
1699,315776.7163129197
1700,266776.67497988156
1701,278704.44881098176
1702,245995.33923578082
1703,241793.09177166413
1704,264195.9673769645
1705,256067.88859986304
1706,399413.6209983494
1707,232409.22951281615
1708,201259.52071843547
1709,251113.444894017
1710,213847.01508338845
1711,275966.696804162
1712,244195.38071916247
1713,266625.385573875
1714,221009.53807527383
1715,208840.863921571
1716,184443.76285008516
1717,184139.38282716865
1718,142449.00578890851
1719,231113.46901753978
1720,240485.36288016173
1721,179078.45465874294
1722,133371.47344839622
1723,158809.32564979896
1724,204638.29515635635
1725,228845.21073008835
1726,192446.30474251235
1727,142405.66638597916
1728,199128.68181273006
1729,158143.44008978578
1730,172671.66508439137
1731,133233.99902605047
